file,id,status,n_faces,method,width,height,face_px,det_score,sharpness,brightness,contrast,yaw,quality,duplicate_of
1.jpg,1,ok,1,pad+det640,256,256,149,0.881,536.9,146.9,67.4,2.03,92.5,
10.jpg,10,ok,1,pad+det640,256,256,134,0.884,278.2,136.6,44.9,1.3,97.4,
100.jpg,100,ok,1,pad+det640,256,256,141,0.876,531.9,148.9,52.7,1.4,96.5,
11.jpg,11,ok,1,pad+det640,256,256,140,0.909,257.8,101.9,31.5,1.05,96.6,
12.jpg,12,ok,1,pad+det640,256,256,143,0.878,663.0,138.8,56.1,1.82,93.8,
13.jpg,13,ok,1,pad+det640,256,256,137,0.861,210.3,123.5,36.5,1.52,93.4,
14.jpg,14,ok,1,pad+det640,256,256,137,0.863,351.7,117.6,39.4,1.44,94.6,
15.jpg,15,ok,1,pad+det640,256,256,136,0.882,321.0,84.5,49.4,1.43,96.6,
16.jpg,16,ok,1,pad+det640,256,256,137,0.865,332.2,116.6,40.3,1.01,97.7,
17.jpg,17,ok,1,pad+det640,256,256,141,0.826,323.8,102.3,36.3,1.61,91.6,
18.jpg,18,ok,1,pad+det640,256,256,132,0.893,371.9,143.8,53.7,1.11,99.0,
19.jpg,19,ok,1,pad+det640,256,256,135,0.913,597.8,137.2,63.0,1.21,98.6,
2.jpg,2,ok,1,pad+det640,256,256,145,0.837,460.0,146.3,45.3,1.73,93.0,
20.jpg,20,ok,1,pad+det640,256,256,141,0.884,358.7,157.5,43.8,1.29,97.2,
21.jpg,21,ok,1,pad+det640,256,256,145,0.869,400.2,156.9,46.6,1.15,97.9,
22.jpg,22,ok,1,pad+det640,256,256,137,0.87,600.5,135.5,58.4,2.4,89.6,
23.jpg,23,ok,1,pad+det640,256,256,133,0.885,280.7,184.2,36.6,1.24,96.1,
24.jpg,24,ok,1,pad+det640,256,256,143,0.867,390.7,125.5,47.9,1.62,94.8,
25.jpg,25,ok,1,pad+det640,256,256,151,0.871,432.9,152.3,55.9,1.79,93.8,
26.jpg,26,ok,1,pad+det640,256,256,138,0.879,298.8,130.3,60.8,1.01,99.2,
